Date,State,Confirmed,Recovered,Deceased,Migrated,Tested,cases_daily,tested_daily
2020-03-12,Andhra Pradesh,1,0,0,0,NA,NA,NA
2020-03-13,Andhra Pradesh,1,0,0,0,NA,0,NA
2020-03-14,Andhra Pradesh,1,0,0,0,NA,0,NA
2020-03-15,Andhra Pradesh,1,0,0,0,NA,0,NA
2020-03-16,Andhra Pradesh,1,0,0,0,NA,0,NA
2020-03-17,Andhra Pradesh,1,0,0,0,NA,0,NA
2020-03-18,Andhra Pradesh,1,0,0,0,NA,0,NA
2020-03-19,Andhra Pradesh,3,0,0,0,NA,2,NA
2020-03-20,Andhra Pradesh,3,0,0,0,NA,0,NA
2020-03-21,Andhra Pradesh,5,0,0,0,NA,2,NA
2020-03-22,Andhra Pradesh,6,0,0,0,NA,1,NA
2020-03-23,Andhra Pradesh,7,0,0,0,NA,1,NA
2020-03-24,Andhra Pradesh,8,0,0,0,NA,1,NA
2020-03-25,Andhra Pradesh,10,0,0,0,NA,2,NA
2020-03-26,Andhra Pradesh,11,0,0,0,NA,1,NA
2020-03-27,Andhra Pradesh,13,0,0,0,NA,2,NA
2020-03-28,Andhra Pradesh,19,0,0,0,NA,6,NA
2020-03-29,Andhra Pradesh,21,1,0,0,NA,2,NA
2020-03-30,Andhra Pradesh,23,1,0,0,NA,2,NA
2020-03-31,Andhra Pradesh,44,1,0,0,NA,21,NA
2020-04-01,Andhra Pradesh,111,2,0,0,NA,67,NA
2020-04-02,Andhra Pradesh,149,2,0,0,1800,38,NA
2020-04-03,Andhra Pradesh,164,2,1,0,1800,15,0
2020-04-04,Andhra Pradesh,192,2,1,0,1800,28,0
2020-04-05,Andhra Pradesh,256,5,1,0,1800,64,0
2020-04-06,Andhra Pradesh,303,5,3,0,1800,47,0
2020-04-07,Andhra Pradesh,314,5,4,0,1800,11,0
2020-04-08,Andhra Pradesh,348,6,4,0,1800,34,0
2020-04-09,Andhra Pradesh,363,10,6,0,1800,15,0
2020-04-10,Andhra Pradesh,381,10,6,0,6374,18,4574
2020-04-11,Andhra Pradesh,405,10,6,0,6958,24,584
2020-04-12,Andhra Pradesh,420,12,7,0,6958,15,0
2020-04-13,Andhra Pradesh,439,12,7,0,8755,19,1797
2020-04-14,Andhra Pradesh,484,16,11,0,10505,45,1750
2020-04-15,Andhra Pradesh,525,20,14,0,11613,41,1108
2020-04-16,Andhra Pradesh,534,20,14,0,20235,9,8622
2020-04-17,Andhra Pradesh,572,35,14,0,20235,38,0
2020-04-18,Andhra Pradesh,603,42,16,0,21450,31,1215
2020-04-19,Andhra Pradesh,647,65,17,0,26958,44,5508
2020-04-20,Andhra Pradesh,722,92,20,0,30733,75,3775
2020-04-21,Andhra Pradesh,757,96,22,0,35755,35,5022
2020-04-22,Andhra Pradesh,813,120,24,0,41512,56,5757
2020-04-23,Andhra Pradesh,893,141,27,0,48032,80,6520
2020-04-24,Andhra Pradesh,955,145,29,0,54338,62,6306
2020-04-25,Andhra Pradesh,1016,171,31,0,61266,61,6928
2020-04-26,Andhra Pradesh,1097,231,31,0,68034,81,6768
2020-04-27,Andhra Pradesh,1177,235,31,0,74551,80,6517
2020-04-28,Andhra Pradesh,1259,258,31,0,80334,82,5783
2020-04-29,Andhra Pradesh,1332,287,31,0,88061,73,7727
2020-04-30,Andhra Pradesh,1403,321,31,0,94558,71,6497
2020-05-01,Andhra Pradesh,1463,403,33,0,102460,60,7902
2020-05-02,Andhra Pradesh,1525,441,33,0,108403,62,5943
2020-05-03,Andhra Pradesh,1583,488,33,0,114937,58,6534
2020-05-04,Andhra Pradesh,1650,524,33,0,125229,67,10292
2020-05-05,Andhra Pradesh,1717,589,34,0,133492,67,8263
2020-05-06,Andhra Pradesh,1777,729,36,0,141274,60,7782
2020-05-07,Andhra Pradesh,1833,780,38,0,149361,56,8087
2020-05-08,Andhra Pradesh,1887,842,41,0,156681,54,7320
2020-05-09,Andhra Pradesh,1930,887,44,0,165069,43,8388
2020-05-10,Andhra Pradesh,1980,925,45,0,173735,50,8666
2020-05-11,Andhra Pradesh,2018,998,45,0,181144,38,7409
2020-05-12,Andhra Pradesh,2089,1056,46,0,191874,71,10730
2020-05-13,Andhra Pradesh,2137,1142,47,0,201196,48,9322
2020-05-14,Andhra Pradesh,2205,1192,48,0,210452,68,9256
2020-05-15,Andhra Pradesh,2307,1252,48,0,219490,102,9038
2020-05-16,Andhra Pradesh,2355,1353,49,0,219490,48,0
2020-05-17,Andhra Pradesh,2380,1456,50,0,238998,25,19508
2020-05-18,Andhra Pradesh,2432,1552,50,0,248771,52,9773
2020-05-19,Andhra Pradesh,2489,1621,52,0,258450,57,9679
2020-05-20,Andhra Pradesh,2560,1664,53,0,267612,71,9162
2020-05-21,Andhra Pradesh,2605,1705,54,0,275704,45,8092
2020-05-22,Andhra Pradesh,2667,1731,55,0,284119,62,8415
2020-05-23,Andhra Pradesh,2714,1779,56,0,292969,47,8850
2020-05-24,Andhra Pradesh,2780,1841,56,0,304326,66,11357
2020-05-25,Andhra Pradesh,2886,1892,56,0,314566,106,10240
2020-05-26,Andhra Pradesh,2983,2017,57,0,322714,97,8148
2020-05-27,Andhra Pradesh,3117,2065,58,0,332378,134,9664
2020-05-28,Andhra Pradesh,3245,2133,59,0,342236,128,9858
2020-05-29,Andhra Pradesh,3330,2234,60,0,353874,85,11638
2020-05-30,Andhra Pradesh,3461,2289,60,0,363378,131,9504
2020-05-31,Andhra Pradesh,3571,2340,62,0,372748,110,9370
2020-06-01,Andhra Pradesh,3676,2374,64,0,383315,105,10567
2020-06-02,Andhra Pradesh,3791,2414,64,0,395681,115,12366
2020-06-03,Andhra Pradesh,3971,2464,68,0,403747,180,8066
2020-06-04,Andhra Pradesh,4112,2529,71,0,413733,141,9986
2020-06-05,Andhra Pradesh,4250,2565,73,0,423564,138,9831
2020-06-06,Andhra Pradesh,4460,2640,73,0,436335,210,12771
2020-06-07,Andhra Pradesh,4659,2669,75,0,454030,199,17695
